EntryTime,Type,TakeProfitDate,ExitDate,return,slug
2021-04-08 12:00:00,long,2021-04-19 12:00:00,2021-04-18 00:00:00,-0.0724372048873095,ATOM
2021-04-19 12:00:00,short,2021-04-20 12:00:00,2021-04-20 12:00:00,-0.0953856019585921,ATOM
2021-04-20 12:00:00,long,2021-04-21 00:00:00,2021-04-21 00:00:00,-0.0651644396348923,ATOM
2021-04-21 00:00:00,short,2021-05-05 00:00:00,2021-04-22 12:00:00,-0.0790329612392483,ATOM
2021-05-04 12:00:00,short,2021-06-14 12:00:00,2021-05-05 12:00:00,-0.1079365687282043,ATOM
2021-05-05 00:00:00,long,2021-07-08 00:00:00,2021-05-17 12:00:00,-0.0804508356425354,ATOM
2021-06-07 12:00:00,short,2021-07-04 00:00:00,2021-06-29 12:00:00,0.0470633994554647,ATOM
2021-07-09 12:00:00,long,2021-09-07 12:00:00,2021-07-19 12:00:00,-0.2446642895076245,ATOM
2021-07-18 12:00:00,short,2021-10-12 12:00:00,2021-07-26 00:00:00,-0.0937767979356414,ATOM
2021-07-31 12:00:00,long,2021-09-07 12:00:00,2021-09-07 12:00:00,0.6262105096046993,ATOM
2021-10-07 12:00:00,long,2021-10-27 00:00:00,2021-10-12 00:00:00,-0.1753545132260704,ATOM
2021-10-12 00:00:00,short,2021-10-23 12:00:00,2021-10-23 12:00:00,-0.1468298109010011,ATOM
2021-10-26 00:00:00,long,2021-12-24 12:00:00,2021-11-10 12:00:00,-0.128052143230528,ATOM
2021-11-09 12:00:00,short,2021-12-03 00:00:00,2021-12-03 00:00:00,0.1943680746480047,ATOM
2021-12-04 00:00:00,short,2022-01-23 00:00:00,2022-01-01 12:00:00,-0.2844106582317552,ATOM
2021-12-23 12:00:00,long,2022-01-19 00:00:00,2022-01-18 12:00:00,0.2902856135401974,ATOM
2022-01-19 12:00:00,long,2022-03-01 12:00:00,2022-01-22 00:00:00,-0.1598311723392762,ATOM
2022-01-22 00:00:00,short,2022-02-17 00:00:00,2022-02-17 00:00:00,0.0044008124576846,ATOM
2022-02-27 12:00:00,short,2022-03-15 12:00:00,2022-03-15 00:00:00,-0.0192342919948708,ATOM
2022-03-18 00:00:00,short,2022-06-25 00:00:00,2022-03-28 12:00:00,-0.117592930411564,ATOM
2022-03-27 12:00:00,long,2022-04-01 00:00:00,2022-04-01 00:00:00,-0.0597463284379171,ATOM
2022-04-06 12:00:00,short,2022-06-25 00:00:00,2022-06-25 00:00:00,2.1524032825322394,ATOM
